latitude,longitude,station_name,street_address,city,state,zip,num_points,operator,usage_cost
37.8718178,-122.2527202,MAXWELL GARAGE,2175 Gayley Rd,Berkeley,CA,94704,1,Unknown,Not specified
37.8728468,-122.2529026,MAXWELL GARAGE,2175 Gayley Rd,Berkeley,CA,94720,1,Unknown,Not specified
37.915673,-122.310959,EL CERRITO,10890 San Pablo Ave,El Cerrito,CA,94530,2,Unknown,Not specified
37.609602,-122.401414,Millwood Inn and Suites,1375 el Camino Real,Millbrae,California,94030,1,Unknown,Not specified
37.9244245,-122.327548,RICHMOND,551-599 S 45th St,Richmond,CA,94804,2,Unknown,Not specified
37.924384,-122.513035,AMYS DRIVE THRU PARADISE DRIVE,5839 Paradise Dr,Corte Madera,CA,94925,1,Unknown,Not specified
37.920564,-122.31572,Del Norte Plaza,11279 San Pablo Ave,El Cerrito,CA,94530,3,Unknown,Not specified
37.89201,-122.57053,Muir Woods Rd,Muir Woods Rd,Mill Valley,CA,,1,Unknown,Not specified
37.935986190165735,-122.36109245316639,Kaiser Richmond,901 Nevin Avenue,Richmond,CA,94801,1,Unknown,Not specified
37.875902,-122.250055,77-EVC-LVL2-1,1 Cyclotron Rd,Berkeley,CA,94720,1,Unknown,Not specified
37.935777,-122.3552335,City of Richmond Downtown,1401 Macdonald Ave,Richmond,CA,94801,1,Unknown,Not specified
37.93712,-122.3605023,Kaiser Richmond,901 Nevin Avenue,Richmond,CA,94801,1,Unknown,Not specified
37.730079,-122.213042,Signature Flight Support OAK - Oakland Int'l Airport - Tesla Destination,8433 Earhart Rd,Oakland,CA,94621,1,Unknown,Not specified
37.730079,-122.213042,Signature Flight Support Oak - Oakland Int'l Airport,8433 Earhart RD,Oakland,California,94621,1,Unknown,Not specified
37.893488,-122.572748,Muir Woods,1 Muir Woods Rd,Mill Valley,CA,94941,1,Unknown,Not specified
37.93742371,-122.3579636,1221 Nevin Ave,1221 Nevin Ave,Richmond,California,94801,2,Unknown,Not specified
37.9256598,-122.5184926,Corte Madera Town Center - RIVIAN ONLY,100 Corte Madera Town Center,Corte Madera,CA,94925,1,Unknown,Not specified
37.8055371,-122.2079264,4052 Lincoln,4052 Lincoln Avenue,Oakland,CA,94602,1,Unknown,Not specified
37.9279845,-122.5129275,The Village At Corte Madera,1400 Redwood Hwy,Corte Madera,CA,94925,1,Unknown,Not specified
37.934811,-122.3460791,RICHMOND,256 24th St,Richmond,CA,94804,1,Unknown,Not specified
37.7610941,-122.2045383,ACTRANSIT,1100 Seminary Ave,Oakland,CA,94621,2,Unknown,Not specified
37.876706,-122.246067,Lawrence Berkeley National Laboratory,1 Cyclotron Rd,Berkeley,CA,94720,2,Unknown,Not specified
37.928225,-122.514787,"Corte Madera, Ca Supercharger",1618 Redwood Highway,Corte Madera,CA,94925,1,Unknown,$0.26/kWh; other tariffs for older cars
37.93583798224793,-122.34343782076462,Civic Center,325 Civic Center Plaza,Richmond,CA,94804,3,Unknown,Not specified
37.9363622,-122.3440266,RICHMOND,325 Civic Center Plaza,Richmond,CA,94804,1,Unknown,Not specified
37.93182,-122.32929,"Target T1507 (Richmond, CA)",4500 Macdonald Ave,Richmond,CA,94805,2,Unknown,Not specified
37.603659,-122.394714,Safeway El Camino Real Millbrae,525 El Camino Real,Millbrae,CA,94030,1,Unknown,Not specified
37.752065,-122.203197,Oakland Arena & RingCentral Coliseum,7000 Coliseum Way,Oakland,CA,94621,1,Unknown,Not specified
37.7153,-122.2145,Oakland International Airport - Economy Lot,1 Airport Dr,Oakland,CA,94621,1,Unknown,Not specified
37.60307,-122.396246,MILLBRAE,1 Library Ave,Millbrae,CA,94030,1,Unknown,Not specified
37.919334,-122.29911,EL CERRITO STATION 01,7501 Schmidt Ln,El Cerrito,CA,94530,1,Unknown,Not specified
37.933079,-122.330486,Mechanics Bank,201 41st Street,Richmond,CA,94805,3,Unknown,Not specified
37.937864,-122.344535,RICHMOND,2540 Barrett Ave,Richmond,CA,94804,2,Unknown,Not specified
37.7149299,-122.2135514,OAK INT AIRPORT,Alan Shepard Way,Oakland,CA,94621,2,Unknown,Not specified
37.60219913990775,-122.39289995921891,City of Millbrae - Broadway,446 Broadway,Millbrae,California,94030,3,Unknown,Not specified
37.602168,-122.392969,MILLBRAE 446 BROADWAY #2,446 Broadway,Millbrae,CA,94030,1,Unknown,Not specified
37.60176266034918,-122.39676535342262,City of Millbrae - Library,1 Library Ave,Millbrae,CA,94030,3,Unknown,Not specified
37.6041374,-122.3759613,CARCHARGING,1 Old Bayshore Hwy,Millbrae,CA,94030,1,Unknown,Not specified
37.82723,-122.208879,CITY OF OAKLAND MONTCLAIRGW,6235 La Salle Ave,Piedmont,CA,94611,1,Unknown,Not specified
37.71722,-122.21122,Oakland International Airport - Fleet Lot,1 Airport Dr,Oakland,CA,94621,1,Unknown,Not specified
37.712381,-122.21333,OAK INT AIRPORT,1 Airport Dr,Oakland,CA,94621,2,Unknown,Not specified
37.60116443942439,-122.39282937735743,MILLBRAE,320 Magnolia Avenue,Millbrae,CA,94030,3,Unknown,Not specified
37.71304070622014,-122.2116330601883,Oakland International Airport - Premier Lot,1 Airport Dr,Oakland,CA,94621,1,Unknown,Not specified
37.600714,-122.391013,MILLBRAE FARMER'S MKT #1,290 Broadway,Millbrae,CA,94030,1,Unknown,Not specified
37.71243,-122.21169,Oakland International Airport Premier Parking,1199-1499 Airport Dr,Oakland,California,94621,2,Unknown,Not specified
37.6012395,-122.383501,Chevron #2200,320 E Millbrae Ave,Millbrae,CA,94030,2,Unknown,Not specified
37.59942,-122.40137,MILLBRAE 477 LINCOLN #4,477 Lincoln Cir,Millbrae,CA,94030,1,Unknown,Not specified
37.6006727,-122.3855031,Milbrae Station,200 Rollins Rd,Millbrae,CA,94030,1,Unknown,Not specified
37.6023496,-122.3706759,San Francisco Airport Marriott Waterfront,1800 Old Bayshore Hwy,Burlingame,CA,94010,3,Unknown,Free
37.71351,-122.2087,1 Airport Drive,1 Airport Drive,Oakland,CA,94621,1,Unknown,Not specified
37.755642,-122.195144,COLISEUM PLACE STATION 4,7120 Hawley Street,Oakland,CA,94621,1,Unknown,Not specified
37.7277718,-122.2018204,CARCHARGING,1 Hegenberger Rd,Oakland,CA,94621,1,Unknown,Not specified
37.732015,-122.200353,OAKSP SPRINGHILL 1,201 Hegenberger Rd,Oakland,CA,94621,1,Unknown,Not specified
37.9355313,-122.5184954,TAM RIDGE,195 talmavista,Corte Madera,CA,94925,1,Unknown,Not specified
37.60706,-122.49713,PACIFICA BREWER PB2,4627 CA-1,Pacifica,CA,94044,1,Unknown,Not specified
37.73081,-122.200066,OAKLAND H-D,151 Hegenberger Rd,Oakland,CA,94621,1,Unknown,Not specified
37.606607,-122.497385,PACIFICA BREWER,4627 CA-1,Pacifica,CA,94044,1,Unknown,Not specified
37.746162,-122.195179,"Oakland, Ca - Hegenberger RD Supercharger",640 Hegenberger Road,Oakland,CA,94621,1,Unknown,$0.26/kWh; other tariffs for older cars
37.735003,-122.197607,Concentra Urgent Care,333 Hegenberger Road,Oakland,CA,94621,1,Unknown,Not specified
37.771432,-122.191366,EVSP WALGREENS,5833 Foothill Blvd,Oakland,CA,94605,1,Unknown,Not specified
37.596385,-122.38728,Friendship Plaza in Millbrae,45 Murchison Drive,Millbrae,CA,94030,1,Unknown,Not specified
37.725841,-122.198335,Holiday Inn Express Hotel & Suites Oakland-Airport,66 Airport Access RD,Oakland,California,94603,1,Unknown,Not specified
37.5969,-122.373812,BMW PETER PAN,1625 Adrian Rd,Burlingame,CA,94010,1,Unknown,Not specified
37.94495,-122.5096,Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,CA,94939,1,Unknown,Not specified
37.9553909301758,-122.367134094238,Greenlots - 112367U,"1535 Fred Jackson Way, Suite A",Richmond,CA,94801,1,Unknown,Not specified
37.938345,-122.530677,LARKSPUR CMPA,240 Doherty Dr,Larkspur,CA,94939,1,Unknown,Not specified
37.943646,-122.517177,MRA EV CHARGERS,50 Drakes Landing Rd,Larkspur,CA,94904,1,Unknown,Not specified
37.939067,-122.530807,LARKSPUR,240 Doherty Dr,Larkspur,CA,94939,1,Unknown,Not specified
37.951478,-122.49569,BMWSANRAFAEL,1599 Francisco Blvd E,San Rafael,CA,94901,1,Unknown,Not specified
37.9492682,-122.5055505,SERENITY,1400 Lincoln Village Cir,Larkspur,CA,94939,1,Unknown,Not specified
37.953889,-122.490366,TARGET T2772 #10,125 Shoreline Blvd,San Rafael,CA,94901,1,Unknown,Not specified
37.954123,-122.490441,TARGET T2772 #7,125 Shoreline Blvd,San Rafael,CA,94901,1,Unknown,Not specified
37.7149991,-122.1939881,SAN LEANDRO,2506-3098 Davis St,San Leandro,CA,94577,1,Unknown,Not specified
37.948882,-122.509812,THE EXCHANGE 900 THE EXCHANG,900 Larkspur Landing Cir,Larkspur,CA,94939,1,Unknown,Not specified
37.9485327,-122.5112923,THE EXCHANGE,700 Larkspur Landing Cir,Larkspur,CA,94939,1,Unknown,Not specified
37.7806434,-122.1808917,DC SOLAR,Post Rd,Oakland,CA,94613,1,Unknown,Not specified
37.949019,-122.511237,THE EXCHANGE 1100 THE EXCHAN,1100 Larkspur Landing Cir,Larkspur,CA,94939,1,Unknown,Not specified
37.723139,-122.190006,Kaiser San Leandro Garfield Innovation Center,590 Whitney Street,San Leandro,CA,94577,1,Unknown,Not specified
37.944971,-122.523121,"Greenbrae, Ca Supercharger",50 Bon Air Center,Greenbrae,CA,94904,1,Unknown,$0.26/kWh; other tariffs for older cars
37.9517033,-122.3332166,LYTTON CASINO,13201 San Pablo Ave,San Pablo,CA,94806,1,Unknown,Not specified
37.726766,-122.186637,Bigge Crane and Rigging Co,10700 Bigge St,San Leandro,CA,94577,1,Unknown,Not specified
37.9548336,-122.3391109,CONTRA COSTA CO,501 gateway avenue,San Pablo,CA,94806,1,Unknown,Not specified
37.95544,-122.33961,CITY HALL COSP 04,1000 Gateway Ave,San Pablo,CA,94806,1,Unknown,Not specified
37.71946,-122.18748,880 Doolittle Dr,880 Doolittle Dr,San Leandro,CA,94577,2,Unknown,Not specified
37.5952052,-122.50395,Linda Mar Shopping - Pacifica,"1221 Linda Mar Shopping Center Pacifica, CA",San Francisco,California,94044,3,Unknown,$9.95
37.591194,-122.348705,"Burlingame, CA Supercharger",150 Anza Blvd,Burlingame,CA,94010,1,Unknown,Not specified
37.716241,-122.187343,Water Pollution Control Plant,3000 Davis St,San Leandro,CA,94577,1,Unknown,Not specified
37.593529,-122.503312,Linda Mar Shopping Center,1227 Linda Mar Shopping Ctr,Pacifica,CA,94044,2,Unknown,Not specified
37.586596,-122.363513,Chula Vista Lot HPCP,1133 Chula Vista,Burlingame,CA,94010,2,Unknown,Not specified
37.594016,-122.507103,535 SAN PEDRO #1,535 San Pedro Ave,Pacifica,CA,94044,1,Unknown,Not specified
37.959309,-122.341831,CITY HALL CITYHALLOT03,13831 San Pablo Ave,San Pablo,CA,94806,1,Unknown,Not specified
37.589929,-122.343146,HILTON SAN FRAN STATION 4,600 Airport Blvd,Burlingame,CA,94010,1,Unknown,Not specified
37.589902,-122.343167,HILTON SAN FRAN STATION 5,600 Airport Blvd,Burlingame,CA,94010,1,Unknown,Not specified
37.589908,-122.343103,HILTON SAN FRAN STATION 6,600 Airport Blvd,Burlingame,CA,94010,1,Unknown,Not specified
37.589888,-122.343146,HILTON SAN FRAN STATION 3,600 Airport Blvd,Burlingame,CA,94010,1,Unknown,Not specified
37.589505,-122.343423,HILTON SAN FRAN STATION 2,600 Airport Blvd.,Burlingame,CA,94010,1,Unknown,Not specified
37.94729623,-122.536055,Marin Health Medical Center,250 Bon Air Road,Greenbrae,CA,94904,1,Unknown,Not specified
37.589926,-122.337414,META BUR101-13,311 Airport Blvd.,Burlingame,CA,94010,1,Unknown,Not specified
37.589903,-122.337412,META BUR101-14,311 Airport Blvd.,Burlingame,CA,94010,1,Unknown,Not specified
37.589929,-122.337195,META BUR101-17,311 Airport Blvd.,Burlingame,CA,94010,1,Unknown,Not specified
37.589897,-122.337306,META BUR101-16,311 Airport Blvd.,Burlingame,CA,94010,1,Unknown,Not specified
37.590246,-122.335952,META BUR102-02 ADA,322 Airport Blvd.,Burlingame,CA,94010,1,Unknown,Not specified
37.960176,-122.5010023,COUNTY OF MARIN,3260 Kerner Blvd,San Rafael,CA,94901,1,Unknown,Not specified
37.590382,-122.335289,META BUR102-08,322 Airport Blvd.,Burlingame,CA,94010,1,Unknown,Not specified
37.589562,-122.336979,META BUR105-06,311 Airport Blvd.,Burlingame,CA,94010,1,Unknown,Not specified
37.589602,-122.335393,META BUR103-05,312 Airport Blvd.,Burlingame,CA,94010,1,Unknown,Not specified
37.799804,-122.171209,Holistic Care at Home,5707 Redwood Rd,Oakland,CA,94619,1,Unknown,Not specified
